sales_key,customer_key,product_key,region_key,date_key,order_id,ship_date,ship_mode,sales,quantity,discount,profit,delivery_days,shipping_speed,profit_margin_pct,estimated_cost,discount_bucket,loss_flag,customer_id,customer_name,segment,product_id,product_name,category,sub_category,country_region,city,state_province,postal_code,region,order_date,order_year,order_month,order_quarter,weekday
32,14,32,14,9,US-2022-162775,2022-01-15,Second Class,646.74,6,0.0,258.696,2,Fast,40.0,388.044,No Discount,0,CS-12250,Chris Selesnick,Corporate,TEC-AC-10003174,Plantronics S12 Corded Telephone Headset System,Technology,Accessories,United States,Bossier City,Louisiana,71111,South,2022-01-13,2022,1,1,Thursday
33,15,33,15,10,US-2022-149524,2022-01-15,First Class,61.96,4,0.5,-53.28560000000001,1,Fast,-86.00000000000001,115.2456,Medium,1,BS-11590,Brendan Sweed,Corporate,FUR-BO-10003433,Sauder Cornerstone Collection Library,Furniture,Bookcases,United States,Philadelphia,Pennsylvania,19140,East,2022-01-14,2022,1,1,Friday
34,16,34,16,11,US-2022-103366,2022-01-17,First Class,149.95,5,0.0,65.97800000000001,2,Fast,44.000000000000014,83.97199999999998,No Discount,0,EH-13990,Erica Hackney,Consumer,TEC-AC-10003628,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,Technology,Accessories,United States,Roswell,Georgia,30076,South,2022-01-15,2022,1,1,Saturday
35,17,35,17,12,US-2022-115791,2022-01-18,Second Class,127.104,6,0.2,28.5984,2,Fast,22.5,98.5056,Low,0,DL-13315,Delfina Latchford,Consumer,FUR-FU-10001095,DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,United States,Philadelphia,Pennsylvania,19134,East,2022-01-16,2022,1,1,Sunday
36,17,36,17,12,US-2022-115791,2022-01-18,Second Class,18.588000000000005,2,0.7,-13.6312,2,Fast,-73.33333333333331,32.2192,High,1,DL-13315,Delfina Latchford,Consumer,OFF-BI-10001575,GBC Linen Binding Covers,Office Supplies,Binders,United States,Philadelphia,Pennsylvania,19134,East,2022-01-16,2022,1,1,Sunday
37,17,37,17,12,US-2022-115791,2022-01-18,Second Class,30.072000000000003,3,0.2,10.149299999999997,2,Fast,33.749999999999986,19.92270000000001,Low,0,DL-13315,Delfina Latchford,Consumer,OFF-LA-10001074,Round Specialty Laser Printer Labels,Office Supplies,Labels,United States,Philadelphia,Pennsylvania,19134,East,2022-01-16,2022,1,1,Sunday
38,17,38,17,12,US-2022-115791,2022-01-18,Second Class,124.2,3,0.4,-31.05000000000001,2,Fast,-25.00000000000001,155.25,Medium,1,DL-13315,Delfina Latchford,Consumer,TEC-PH-10004614,AT&T 841000 Phone,Technology,Phones,United States,Philadelphia,Pennsylvania,19134,East,2022-01-16,2022,1,1,Sunday
39,18,39,18,13,US-2022-123477,2022-01-21,Second Class,64.864,4,0.2,6.486400000000003,3,Medium,10.000000000000004,58.3776,Low,0,DW-13195,David Wiener,Corporate,OFF-AP-10000692,Fellowes Mighty 8 Compact Surge Protector,Office Supplies,Appliances,United States,Springfield,Oregon,97477,West,2022-01-18,2022,1,1,Tuesday
40,19,40,19,14,US-2022-146591,2022-01-20,First Class,181.47000000000003,5,0.7,-320.597,1,Fast,-176.66666666666663,502.067,High,1,TS-21340,Toby Swindell,Consumer,FUR-BO-10001972,O'Sullivan 4-Shelf Bookcase in Odessa Pine,Furniture,Bookcases,United States,Scottsdale,Arizona,85254,West,2022-01-19,2022,1,1,Wednesday
41,19,41,19,14,US-2022-146591,2022-01-20,First Class,32.34,10,0.7,-23.716,1,Fast,-73.33333333333333,56.056,High,1,TS-21340,Toby Swindell,Consumer,OFF-BI-10003676,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",Office Supplies,Binders,United States,Scottsdale,Arizona,85254,West,2022-01-19,2022,1,1,Wednesday
42,19,42,19,14,US-2022-146591,2022-01-20,First Class,108.72,5,0.2,36.693,1,Fast,33.75,72.027,Low,0,TS-21340,Toby Swindell,Consumer,OFF-EN-10002504,"Tyvek Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,United States,Scottsdale,Arizona,85254,West,2022-01-19,2022,1,1,Wednesday
43,19,43,19,14,US-2022-146591,2022-01-20,First Class,56.064,4,0.2,19.6224,1,Fast,35.0,36.4416,Low,0,TS-21340,Toby Swindell,Consumer,OFF-PA-10000659,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",Office Supplies,Paper,United States,Scottsdale,Arizona,85254,West,2022-01-19,2022,1,1,Wednesday
44,20,44,20,15,US-2022-147627,2022-01-26,Standard Class,1067.94,3,0.0,224.2673999999999,6,Slow,20.99999999999999,843.6726000000001,No Discount,0,HL-15040,Hunter Lopez,Consumer,FUR-CH-10002331,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
45,21,45,21,15,US-2022-167927,2022-01-26,Standard Class,14.73,3,0.0,4.860899999999999,6,Slow,32.99999999999999,9.8691,No Discount,0,XP-21865,Xylona Preis,Consumer,FUR-FU-10002268,Ultra Door Push Plate,Furniture,Furnishings,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
46,21,46,21,15,US-2022-167927,2022-01-26,Standard Class,272.94,3,0.0,30.02340000000001,6,Slow,11.000000000000004,242.9166,No Discount,0,XP-21865,Xylona Preis,Consumer,FUR-FU-10002918,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Furniture,Furnishings,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
47,20,47,20,15,US-2022-147627,2022-01-26,Standard Class,38.6,4,0.0,11.579999999999998,6,Slow,29.999999999999993,27.020000000000003,No Discount,0,HL-15040,Hunter Lopez,Consumer,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
48,22,47,6,15,US-2022-148614,2022-01-25,Standard Class,19.3,2,0.0,5.789999999999999,5,Medium,29.999999999999993,13.510000000000002,No Discount,0,MV-17485,Mark Van Huff,Consumer,FUR-FU-10003194,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Furnishings,United States,Los Angeles,California,90049,West,2022-01-20,2022,1,1,Thursday
49,21,48,21,15,US-2022-167927,2022-01-26,Standard Class,247.716,4,0.1,93.5816,6,Slow,37.77777777777778,154.13440000000003,Low,0,XP-21865,Xylona Preis,Consumer,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,Appliances,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
50,20,49,20,15,US-2022-147627,2022-01-26,Standard Class,22.959999999999997,7,0.0,6.658399999999997,6,Slow,28.999999999999982,16.3016,No Discount,0,HL-15040,Hunter Lopez,Consumer,OFF-AR-10002375,Newell 351,Office Supplies,Art,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
51,20,50,20,15,US-2022-147627,2022-01-26,Standard Class,6.63,3,0.0,1.7901,6,Slow,27.0,4.8399,No Discount,0,HL-15040,Hunter Lopez,Consumer,OFF-AR-10003811,Newell 327,Office Supplies,Art,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
52,21,51,21,15,US-2022-167927,2022-01-26,Standard Class,43.92,3,0.0,12.7368,6,Slow,28.999999999999996,31.1832,No Discount,0,XP-21865,Xylona Preis,Consumer,OFF-AR-10004456,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Office Supplies,Art,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
53,21,52,21,15,US-2022-167927,2022-01-26,Standard Class,19.05,5,0.0,8.953499999999998,6,Slow,46.999999999999986,10.096500000000002,No Discount,0,XP-21865,Xylona Preis,Consumer,OFF-BI-10000605,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Office Supplies,Binders,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
54,23,53,22,15,US-2022-147774,2022-01-26,Standard Class,67.194,1,0.7,-51.515399999999985,6,Slow,-76.66666666666664,118.7094,High,1,MM-18280,Muhammed MacIntyre,Corporate,OFF-BI-10003091,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders,United States,Smyrna,Tennessee,37167,South,2022-01-20,2022,1,1,Thursday
55,21,54,21,15,US-2022-167927,2022-01-26,Standard Class,29.700000000000003,5,0.0,13.365,6,Slow,44.99999999999999,16.335,No Discount,0,XP-21865,Xylona Preis,Consumer,OFF-BI-10004364,Storex Dura Pro Binders,Office Supplies,Binders,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
56,20,55,20,15,US-2022-147627,2022-01-26,Standard Class,23.34,3,0.0,10.9698,6,Slow,47.0,12.3702,No Discount,0,HL-15040,Hunter Lopez,Consumer,OFF-EN-10001539,Staple envelope,Office Supplies,Envelopes,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
57,22,56,6,15,US-2022-148614,2022-01-25,Standard Class,19.36,2,0.0,9.2928,5,Medium,48.0,10.0672,No Discount,0,MV-17485,Mark Van Huff,Consumer,OFF-PA-10002893,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,United States,Los Angeles,California,90049,West,2022-01-20,2022,1,1,Thursday
58,21,57,21,15,US-2022-167927,2022-01-26,Standard Class,13.98,1,0.0,4.0542,6,Slow,28.999999999999996,9.9258,No Discount,0,XP-21865,Xylona Preis,Consumer,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,Office Supplies,Storage,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
59,21,58,21,15,US-2022-167927,2022-01-26,Standard Class,66.58,2,0.0,15.9792,6,Slow,24.000000000000004,50.6008,No Discount,0,XP-21865,Xylona Preis,Consumer,OFF-ST-10003123,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,United States,Westland,Michigan,48185,Central,2022-01-20,2022,1,1,Thursday
60,20,59,20,15,US-2022-147627,2022-01-26,Standard Class,699.93,7,0.0,181.9818,6,Slow,26.0,517.9481999999999,No Discount,0,HL-15040,Hunter Lopez,Consumer,TEC-PH-10001061,Apple iPhone 5C,Technology,Phones,United States,Jonesboro,Arkansas,72401,South,2022-01-20,2022,1,1,Thursday
61,24,60,23,16,US-2022-110422,2022-01-23,Second Class,25.248,3,0.2,4.102799999999999,2,Fast,16.249999999999996,21.145200000000003,Low,0,TB-21400,Tom Boeckenhauer,Consumer,FUR-FU-10001889,Ultra Door Pull Handle,Furniture,Furnishings,United States,Miami,Florida,33180,South,2022-01-21,2022,1,1,Friday
62,25,61,24,16,CA-2022-115238,2022-01-24,Standard Class,24.3,5,0.0,10.45,3,Medium,43.00411522633745,13.85,No Discount,0,JW-15220,Jane Waco,Corporate,FUR-FU-10001025,"Eldon Imàge Series Desk Accessories, Clear",Furniture,Furnishings,Canada,Toronto,Ontario,M7A,East,2022-01-21,2022,1,1,Friday
63,25,62,24,16,CA-2022-115238,2022-01-24,Standard Class,9.48,1,0.0,3.79,3,Medium,39.9789029535865,5.69,No Discount,0,JW-15220,Jane Waco,Corporate,FUR-FU-10002445,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Furniture,Furnishings,Canada,Toronto,Ontario,M7A,East,2022-01-21,2022,1,1,Friday
64,25,63,24,16,CA-2022-115238,2022-01-24,Standard Class,31.4,5,0.0,13.19,3,Medium,42.0063694267516,18.21,No Discount,0,JW-15220,Jane Waco,Corporate,FUR-FU-10002960,"Eldon 200 Class Desk Accessories, Burgundy",Furniture,Furnishings,Canada,Toronto,Ontario,M7A,East,2022-01-21,2022,1,1,Friday
65,25,64,24,16,CA-2022-115238,2022-01-24,Standard Class,6.48,1,0.0,3.11,3,Medium,47.99382716049382,3.370000000000001,No Discount,0,JW-15220,Jane Waco,Corporate,OFF-PA-10002689,Weyerhaeuser First Choice Laser/Copy Paper (20Lb. and 88 Bright),Office Supplies,Paper,Canada,Toronto,Ontario,M7A,East,2022-01-21,2022,1,1,Friday
66,25,65,24,16,CA-2022-115238,2022-01-24,Standard Class,209.5,10,0.0,58.66,3,Medium,27.999999999999996,150.84,No Discount,0,JW-15220,Jane Waco,Corporate,TEC-PH-10001300,"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Technology,Phones,Canada,Toronto,Ontario,M7A,East,2022-01-21,2022,1,1,Friday
67,26,66,25,17,US-2022-146997,2022-01-27,Standard Class,5.9399999999999995,3,0.0,0.0,4,Medium,0.0,5.9399999999999995,No Discount,0,SG-20605,Speros Goranitis,Consumer,OFF-FA-10003467,"Alliance Big Bands Rubber Bands, 12/Pack",Office Supplies,Fasteners,United States,Lafayette,Indiana,47905,Central,2022-01-23,2022,1,1,Sunday
68,27,67,26,17,US-2022-102645,2022-01-28,Standard Class,40.08,6,0.0,19.2384,5,Medium,48.0,20.8416,No Discount,0,IM-15055,Ionia McGrath,Consumer,OFF-PA-10001804,Xerox 195,Office Supplies,Paper,United States,Las Vegas,Nevada,89115,West,2022-01-23,2022,1,1,Sunday
69,28,68,27,18,US-2022-167997,2022-01-29,First Class,141.96,2,0.0,39.7488,3,Medium,28.000000000000004,102.2112,No Discount,0,CA-11965,Carol Adams,Corporate,FUR-BO-10004409,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,United States,Rapid City,South Dakota,57701,Central,2022-01-26,2022,1,1,Wednesday
70,29,69,28,18,US-2022-155502,2022-01-31,Standard Class,12.419999999999998,3,0.0,4.4712,5,Medium,36.00000000000001,7.9487999999999985,No Discount,0,SD-20485,Shirley Daniels,Home Office,FUR-FU-10001847,Eldon Image Series Black Desk Accessories,Furniture,Furnishings,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
71,29,70,28,18,US-2022-155502,2022-01-31,Standard Class,62.82000000000001,3,0.0,30.7818,5,Medium,48.99999999999999,32.0382,No Discount,0,SD-20485,Shirley Daniels,Home Office,FUR-FU-10004587,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",Furniture,Furnishings,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
72,28,71,27,18,US-2022-167997,2022-01-29,First Class,10.68,2,0.0,5.0196,3,Medium,47.0,5.6604,No Discount,0,CA-11965,Carol Adams,Corporate,OFF-BI-10001758,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders,United States,Rapid City,South Dakota,57701,Central,2022-01-26,2022,1,1,Wednesday
73,29,72,28,18,US-2022-155502,2022-01-31,Standard Class,16.68,2,0.0,8.34,5,Medium,50.0,8.34,No Discount,0,SD-20485,Shirley Daniels,Home Office,OFF-PA-10000380,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",Office Supplies,Paper,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
74,29,73,28,18,US-2022-155502,2022-01-31,Standard Class,19.44,3,0.0,9.3312,5,Medium,48.00000000000001,10.1088,No Discount,0,SD-20485,Shirley Daniels,Home Office,OFF-PA-10003072,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",Office Supplies,Paper,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
75,29,74,28,18,US-2022-155502,2022-01-31,Standard Class,489.92,8,0.0,0.0,5,Medium,0.0,489.92,No Discount,0,SD-20485,Shirley Daniels,Home Office,OFF-ST-10004337,"SAFCO Commercial Wire Shelving, 72h",Office Supplies,Storage,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
76,29,75,28,18,US-2022-155502,2022-01-31,Standard Class,187.98,2,0.0,52.6344,5,Medium,28.000000000000004,135.3456,No Discount,0,SD-20485,Shirley Daniels,Home Office,TEC-PH-10002103,Jabra SPEAK 410,Technology,Phones,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
77,29,76,28,18,US-2022-155502,2022-01-31,Standard Class,155.35,13,0.0,0.0,5,Medium,0.0,155.35,No Discount,0,SD-20485,Shirley Daniels,Home Office,TEC-PH-10004833,Macally Suction Cup Mount,Technology,Phones,United States,Alexandria,Virginia,22304,South,2022-01-26,2022,1,1,Wednesday
78,30,77,29,19,US-2022-117163,2022-02-02,Standard Class,333.0,3,0.2,-16.64999999999999,6,Slow,-4.999999999999997,349.65,Low,1,EJ-13720,Ed Jacobs,Consumer,FUR-TA-10003469,Balt Split Level Computer Training Table,Furniture,Tables,United States,San Diego,California,92037,West,2022-01-27,2022,1,1,Thursday
